first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,next_player,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,first_player_final_score,second_player_final_score,final_score_difference,outcome
32,0,32,32.0,0,32,1793,1897,-104,0,0,0.0,0,first_player,96,1,0,0.3125,1,0,6,0,false,428,339,89,true
32,31,1,32.0,31.0,1,1793,1897,-104,0,0,0.0,0.0,second_player,93,1,1,0.3225806451612903,1,0,6,12,false,428,339,89,true
97,31,66,48.5,31.0,66,1793,1897,-104,1,0,0.5,0.0,first_player,86,2,1,0.3488372093023256,0,0,14,12,false,428,339,89,true
97,52,45,48.5,26.0,45,1793,1897,-104,1,0,0.5,0.0,second_player,83,2,2,0.3614457831325301,0,0,14,11,false,428,339,89,true
126,52,74,42.0,26.0,74,1793,1897,-104,1,0,0.3333333333333333,0.0,first_player,81,3,2,0.37037037037037035,0,0,7,11,false,428,339,89,true
126,77,49,42.0,25.666666666666668,49,1793,1897,-104,1,0,0.3333333333333333,0.0,second_player,77,3,3,0.38961038961038963,0,0,7,21,false,428,339,89,true
128,77,51,32.0,25.666666666666668,51,1793,1897,-104,1,0,0.25,0.0,first_player,75,4,3,0.4,0,0,7,21,false,428,339,89,true
128,102,26,32.0,25.5,26,1793,1897,-104,1,0,0.25,0.0,second_player,72,4,4,0.4166666666666667,0,0,7,17,false,428,339,89,true
138,102,36,27.6,25.5,36,1793,1897,-104,1,0,0.2,0.0,first_player,69,5,4,0.43478260869565216,0,0,10,17,false,428,339,89,true
138,132,6,27.6,26.4,6,1793,1897,-104,1,0,0.2,0.0,second_player,64,5,5,0.46875,0,0,10,12,false,428,339,89,true
156,132,24,26.0,26.4,24,1793,1897,-104,1,0,0.16666666666666666,0.0,first_player,61,6,5,0.4918032786885246,0,0,10,12,false,428,339,89,true
156,154,2,26.0,25.666666666666668,2,1793,1897,-104,1,0,0.16666666666666666,0.0,second_player,55,6,6,0.5454545454545454,0,0,10,13,false,428,339,89,true
183,154,29,26.142857142857142,25.666666666666668,29,1793,1897,-104,1,0,0.14285714285714285,0.0,first_player,50,7,6,0.6,0,0,12,13,false,428,339,89,true
183,175,8,26.142857142857142,25.0,8,1793,1897,-104,1,0,0.14285714285714285,0.0,second_player,46,7,7,0.6521739130434783,0,0,12,7,false,428,339,89,true
210,175,35,26.25,25.0,35,1793,1897,-104,1,0,0.125,0.0,first_player,44,8,7,0.6818181818181818,0,0,11,7,false,428,339,89,true
210,185,25,26.25,23.125,25,1793,1897,-104,1,0,0.125,0.0,second_player,40,8,8,0.75,0,0,11,7,false,428,339,89,true
216,185,31,24.0,23.125,31,1793,1897,-104,1,0,0.1111111111111111,0.0,first_player,37,9,8,0.8108108108108109,0,0,8,7,false,428,339,89,true
216,203,13,24.0,22.555555555555557,13,1793,1897,-104,1,0,0.1111111111111111,0.0,second_player,34,9,9,0.8823529411764706,0,1,8,6,false,428,339,89,true
291,203,88,29.1,22.555555555555557,88,1793,1897,-104,2,0,0.2,0.0,first_player,27,10,9,1.1111111111111112,0,1,10,6,false,428,339,89,true
291,223,68,29.1,22.3,68,1793,1897,-104,2,0,0.2,0.0,second_player,24,10,10,1.25,0,1,10,6,false,428,339,89,true
341,223,118,31.0,22.3,118,1793,1897,-104,2,0,0.18181818181818182,0.0,first_player,19,11,10,1.5789473684210527,0,1,14,6,false,428,339,89,true
341,283,58,31.0,25.727272727272727,58,1793,1897,-104,2,0,0.18181818181818182,0.0,second_player,11,11,11,2.727272727272727,0,0,14,10,false,428,339,89,true
341,283,58,28.416666666666668,25.727272727272727,58,1793,1897,-104,2,0,0.16666666666666666,0.0,first_player,11,12,11,2.727272727272727,0,0,14,10,false,428,339,89,true
341,309,32,28.416666666666668,25.75,32,1793,1897,-104,2,0,0.16666666666666666,0.0,second_player,8,12,12,3.75,0,0,14,8,false,428,339,89,true
360,309,51,27.692307692307693,25.75,51,1793,1897,-104,2,0,0.15384615384615385,0.0,first_player,4,13,12,7.5,0,0,12,8,false,428,339,89,true
