first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,actual_outcome,predicted_outcome,first_player_probability,second_player_probability
114,236,-122,16.285714,33.714286,-122,1193,1177,16,0,1,0,0.142857,52,7,7,0.673077,0,0,13,11,false,false,false,0.026,0.974
96,67,29,16,11.166667,29,1193,1220,-27,0,0,0,0,58,6,6,0.741379,1,1,9,20,false,false,true,0.557,0.443
167,195,-28,20.875,24.375,-28,1270,1261,9,1,0,0.125,0,49,8,8,0.755102,0,0,8,16,false,false,false,0.157,0.843
207,213,-6,14.785714,16.384615,-6,526,502,24,0,0,0,0,22,14,13,2.272727,0,0,10,10,false,false,false,0.42,0.58
204,263,-59,12.75,17.533333,-59,595,540,55,0,0,0,0,3,16,15,14.333333,0,0,8,19,false,false,false,0.014,0.986
107,141,-34,35.666667,47,-34,1699,1580,119,1,0,0.333333,0,73,3,3,0.410959,0,0,8,19,false,false,false,0.082,0.918
12,0,12,12,0,12,1415,1361,54,0,0,0,0,97,1,0,0.319588,0,0,13,0,false,false,true,0.561,0.439
146,226,-80,9.733333,16.142857,-80,818,826,-8,0,0,0,0,26,15,14,2.038462,1,0,6,14,false,false,false,0.016,0.984
345,349,-4,23,23.266667,-4,1354,1210,144,0,1,0,0.066667,-8,15,15,-4.125,0,0,7,4,false,false,false,0.082,0.918
145,113,32,29,22.6,32,1770,1745,25,1,0,0.2,0,67,5,5,0.492537,0,0,7,19,false,false,true,0.63,0.37
188,324,-136,11.75,20.25,-136,977,1100,-123,0,1,0,0.0625,8,16,16,5.125,0,0,12,24,false,false,false,0,1
330,405,-75,19.411765,25.3125,-75,1176,1133,43,1,0,0.058824,0,-5,17,16,-6.8,0,0,2,3,false,false,false,0,1
287,356,-69,14.35,18.736842,-69,1101,1130,-29,1,1,0.05,0.052632,-13,20,19,-3.461538,0,1,3,3,false,false,false,0,1
261,225,36,23.727273,22.5,36,1070,814,256,1,1,0.090909,0.1,20,11,10,1.65,0,1,9,11,false,false,true,0.772,0.228
250,305,-55,17.857143,21.785714,-55,1063,1134,-71,1,0,0.071429,0,22,14,14,2,0,1,13,12,false,false,false,0,1
116,113,3,16.571429,18.833333,3,1691,1510,181,0,0,0,0,55,7,6,0.545455,1,0,21,13,false,false,true,0.592,0.408
120,150,-30,24,37.5,-30,1045,1100,-55,0,0,0,0,67,5,4,0.507463,0,1,7,9,false,false,false,0.016,0.984
171,340,-169,12.214286,26.153846,-169,940,947,-7,0,2,0,0.153846,9,14,13,3.888889,1,0,15,19,false,false,false,0,1
291,450,-159,17.117647,28.125,-159,976,995,-19,1,2,0.058824,0.125,-15,17,16,-2.533333,1,0,2,4,false,false,false,0,1
248,289,-41,13.052632,16.055556,-41,226,361,-135,0,0,0,0,-25,19,18,-1.76,0,0,11,11,false,false,false,0,1
75,90,-15,8.333333,11.25,-15,288,359,-71,0,0,0,0,58,9,8,0.465517,0,0,14,13,false,false,false,0.223,0.777
268,275,-7,20.615385,21.153846,-7,1803,1658,145,1,0,0.076923,0,1,13,13,33,0,0,7,9,false,false,false,0.097,0.903
161,178,-17,20.125,22.25,-17,1269,1477,-208,1,0,0.125,0,46,8,8,0.76087,0,1,11,13,false,false,false,0.156,0.844
333,354,-21,17.526316,18.631579,-21,944,1095,-151,0,1,0,0.052632,-14,19,19,-2.785714,0,0,1,3,false,false,false,0.029,0.971
229,275,-46,17.615385,21.153846,-46,889,895,-6,0,1,0,0.076923,13,13,13,2.846154,0,1,14,28,false,false,false,0.003,0.997
221,280,-59,17,23.333333,-59,711,746,-35,0,0,0,0,15,13,12,2.533333,0,0,9,16,false,false,false,0.006,0.994
351,356,-5,20.647059,22.25,-5,1354,1210,144,0,1,0,0.0625,-14,17,16,-2.357143,0,0,2,4,true,false,false,0.081,0.919
35,23,12,8.75,7.666667,12,1037,1016,21,0,0,0,0,85,4,3,0.682353,0,1,7,8,false,false,false,0.355,0.645
90,150,-60,22.5,37.5,-60,1045,1100,-55,0,0,0,0,70,4,4,0.485714,0,1,10,9,false,false,false,0.015,0.985
95,95,0,19,23.75,0,1432,1452,-20,0,0,0,0,67,5,4,0.537313,0,0,10,10,false,false,false,0.274,0.726
39,45,-6,19.5,22.5,-6,1312,1334,-22,0,0,0,0,83,2,2,0.46988,0,0,12,21,false,false,false,0.297,0.703
112,126,-14,18.666667,21,-14,1131,1030,101,0,0,0,0,59,6,6,0.508475,1,0,11,18,false,false,true,0.645,0.355
210,285,-75,23.333333,35.625,-75,1003,1004,-1,0,1,0,0.125,37,9,8,0.945946,0,1,7,12,false,false,false,0.025,0.975
242,316,-74,22,28.727273,-74,991,1063,-72,0,1,0,0.090909,22,11,11,1.727273,1,0,8,11,false,false,false,0.024,0.976
10,23,-13,10,23,-13,1270,1424,-154,0,0,0,0,94,1,1,0.37234,0,0,10,10,false,false,false,0.157,0.843
243,253,-10,20.25,23,-10,1110,1123,-13,0,1,0,0.090909,16,12,11,2.0625,1,1,6,17,false,false,false,0.119,0.881
119,78,41,23.8,19.5,41,711,746,-35,0,0,0,0,70,5,4,0.542857,0,0,7,12,false,false,true,0.686,0.314
135,46,89,45,23,89,1373,1334,39,1,0,0.333333,0,79,3,2,0.405063,0,0,8,7,false,false,true,0.76,0.24
329,347,-18,19.352941,20.411765,-18,1094,1041,53,1,0,0.058824,0,-19,17,17,-2,0,0,5,2,false,false,false,0.057,0.943
150,194,-44,18.75,27.714286,-44,1633,1620,13,0,0,0,0,41,8,7,0.878049,0,0,9,8,false,false,false,0.071,0.929
243,253,-10,17.357143,19.461538,-10,206,346,-140,1,0,0.071429,0,7,14,13,6.142857,0,0,27,13,false,false,false,0.112,0.888
301,328,-27,23.153846,27.333333,-27,1439,1314,125,0,0,0,0,2,13,12,14,0,1,3,8,false,false,false,0.036,0.964
255,338,-83,13.421053,17.789474,-83,653,820,-167,0,0,0,0,-28,19,19,-1.357143,0,0,1,1,true,false,false,0,1
17,26,-9,8.5,26,-9,563,523,40,0,0,0,0,88,2,1,0.420455,0,0,17,12,false,false,false,0.327,0.673
304,311,-7,20.266667,22.214286,-7,1341,1606,-265,1,0,0.066667,0,-7,15,14,-4.714286,0,0,8,5,false,false,false,0.026,0.974
264,349,-85,16.5,21.8125,-85,594,648,-54,1,1,0.0625,0.0625,3,16,16,13.333333,0,0,7,6,false,false,false,0,1
138,211,-73,15.333333,23.444444,-73,480,739,-259,0,0,0,0,43,9,9,0.906977,0,0,8,16,false,false,false,0.036,0.964
117,104,13,23.4,20.8,13,892,856,36,0,0,0,0,65,5,5,0.538462,1,0,7,7,false,false,true,0.775,0.225
36,167,-131,6,27.833333,-131,1422,1510,-88,0,1,0,0.166667,71,6,6,0.549296,0,0,18,22,false,false,false,0.01,0.99
316,374,-58,18.588235,23.375,-58,480,739,-259,1,0,0.058824,0,-4,17,16,-9.75,0,0,4,7,false,false,false,0,1
198,247,-49,16.5,22.454545,-49,771,668,103,0,0,0,0,15,12,11,2.533333,0,0,7,23,false,false,false,0.074,0.926
237,274,-37,23.7,27.4,-37,801,679,122,1,0,0.1,0,19,10,10,1.526316,1,0,14,14,false,false,false,0.107,0.893
95,72,23,19,18,23,1331,1374,-43,0,0,0,0,63,5,4,0.52381,0,0,14,15,false,false,false,0.424,0.576
22,0,22,22,0,22,1030,998,32,0,0,0,0,95,1,0,0.389474,0,0,13,0,false,false,true,0.564,0.436
46,45,1,15.333333,15,1,1552,1803,-251,0,0,0,0,83,3,3,0.39759,0,0,7,14,false,false,false,0.177,0.823
182,305,-123,12.133333,20.333333,-123,1305,1307,-2,0,1,0,0.066667,4,15,15,10.25,0,1,8,9,false,false,false,0,1
147,182,-35,24.5,36.4,-35,1537,1539,-2,0,1,0,0.2,51,6,5,0.666667,0,0,25,7,false,false,false,0.398,0.602
243,274,-31,16.2,18.266667,-31,595,538,57,0,0,0,0,0,15,15,0,0,0,10,5,false,false,false,0.19,0.81
65,54,11,13,13.5,11,814,830,-16,0,0,0,0,69,5,4,0.594203,0,0,14,11,false,false,false,0.453,0.547
207,264,-57,20.7,26.4,-57,689,804,-115,0,0,0,0,25,10,10,1.4,0,0,10,10,false,false,false,0.021,0.979
342,376,-34,18,19.789474,-34,721,757,-36,0,2,0,0.105263,-19,19,19,-2,0,0,1,1,true,false,false,0.104,0.896
322,374,-52,17.888889,20.777778,-52,1493,1413,80,0,1,0,0.055556,-21,18,18,-1.714286,0,0,2,1,true,false,false,0,1
278,300,-22,23.166667,27.272727,-22,1331,1347,-16,1,1,0.083333,0.090909,3,12,11,10.666667,0,1,10,9,false,false,false,0.041,0.959
86,71,15,17.2,17.75,15,1203,1270,-67,0,0,0,0,75,5,4,0.586667,1,0,6,18,false,false,false,0.284,0.716
145,201,-56,14.5,20.1,-56,595,540,55,0,0,0,0,34,10,10,1.264706,0,0,14,15,false,false,false,0.264,0.736
329,334,-5,15.666667,16.7,-5,430,542,-112,0,1,0,0.05,-22,21,20,-2.181818,0,0,2,5,false,false,false,0.324,0.676
169,214,-45,14.083333,19.454545,-45,830,787,43,0,0,0,0,25,12,11,1.52,0,0,8,8,false,false,false,0.088,0.912
63,62,1,21,20.666667,1,985,1062,-77,0,0,0,0,79,3,3,0.468354,0,0,8,16,false,false,false,0.269,0.731
100,88,12,20,22,12,1266,1339,-73,0,0,0,0,72,5,4,0.486111,0,0,17,18,false,false,false,0.165,0.835
110,117,-7,22,23.4,-7,450,624,-174,0,0,0,0,63,5,5,0.52381,0,0,7,12,false,false,false,0.227,0.773
20,0,20,20,0,20,1645,1636,9,0,0,0,0,95,1,0,0.347368,0,0,23,0,false,false,true,0.724,0.276
166,172,-6,20.75,24.571429,-6,1110,1123,-13,0,1,0,0.142857,43,8,7,0.767442,0,0,9,19,false,false,false,0.276,0.724
136,216,-80,15.111111,24,-80,642,952,-310,0,0,0,0,40,9,9,1.1,0,0,9,12,false,false,false,0.046,0.954
94,130,-36,15.666667,26,-36,837,844,-7,0,0,0,0,70,6,5,0.585714,0,1,10,12,false,false,false,0.039,0.961
120,552,-432,5.454545,26.285714,-432,1164,1149,15,0,3,0,0.142857,3,22,21,15.666667,0,1,12,18,false,false,false,0,1
145,100,45,24.166667,16.666667,45,1652,1473,179,1,0,0.166667,0,51,6,6,0.588235,0,0,21,10,false,false,true,0.643,0.357
264,374,-110,16.5,23.375,-110,1270,1424,-154,0,2,0,0.125,-8,16,16,-4.375,0,0,14,3,false,false,false,0,1
267,318,-51,20.538462,24.461538,-51,1101,1237,-136,1,0,0.076923,0,11,13,13,3.090909,1,0,18,12,false,false,false,0.069,0.931
31,26,5,15.5,13,5,758,791,-33,0,0,0,0,85,2,2,0.458824,0,0,16,8,false,false,true,0.56,0.44
18,0,18,18,0,18,1691,1510,181,0,0,0,0,95,1,0,0.315789,0,0,13,0,false,false,true,0.676,0.324
45,14,31,15,7,31,726,818,-92,0,0,0,0,83,3,2,0.421687,0,1,7,8,false,false,false,0.22,0.78
291,359,-68,15.315789,18.894737,-68,1305,1307,-2,0,1,0,0.052632,-21,19,19,-1.952381,0,1,3,3,false,false,false,0,1
302,371,-69,20.133333,26.5,-69,991,1063,-72,0,1,0,0.071429,0,15,14,0,0,0,15,14,false,false,false,0,1
86,102,-16,10.75,14.571429,-16,226,361,-135,0,0,0,0,47,8,7,0.93617,0,0,16,14,false,false,false,0.108,0.892
216,211,5,19.636364,19.181818,5,742,868,-126,0,0,0,0,28,11,11,1.178571,0,1,9,6,false,false,false,0.399,0.601
12,26,-14,12,26,-14,1253,1324,-71,0,0,0,0,92,1,1,0.315217,0,0,11,23,false,false,false,0.229,0.771
321,355,-34,17.833333,20.882353,-34,1063,1134,-71,1,0,0.055556,0,1,18,17,44,0,0,8,11,false,false,false,0,1
81,22,59,40.5,22,59,691,695,-4,1,0,0.5,0,84,2,1,0.380952,0,0,21,13,false,false,true,0.618,0.382
291,380,-89,24.25,34.545455,-89,1388,1455,-67,0,0,0,0,4,12,11,7,1,0,16,10,false,false,false,0,1
141,323,-182,7.833333,17.944444,-182,651,567,84,0,0,0,0,0,18,18,0,0,0,12,11,false,false,false,0,1
240,264,-24,21.818182,26.4,-24,689,804,-115,0,0,0,0,21,11,10,1.666667,0,0,7,10,false,false,false,0.04,0.96
