"first_player_current_score","second_player_current_score","current_score_difference","first_player_average_score","second_player_average_score","average_score_difference","first_player_rating","second_player_rating","rating_difference","first_player_number_of_bingos","second_player_number_of_bingos","first_player_average_number_of_bingos","second_player_average_number_of_bingos","next_player","number_of_tiles_left","first_player_number_of_turns","second_player_number_of_turns","progress","first_player_rack_blanks","second_player_rack_blanks","first_player_rack_value","second_player_rack_value","final_turn","first_player_final_score","second_player_final_score","final_score_difference","actual_outcome","predicted_outcome","first_player_probability","second_player_probability"
126,77,49,42,25.6666666666667,49,1793,1897,-104,1,0,0.333333333333333,0,"second_player",77,3,3,0.38961038961039,0,0,7,21,"false",428,339,89,"true","true",0.679887432642838,0.320112567357162
128,102,26,32,25.5,26,1793,1897,-104,1,0,0.25,0,"second_player",72,4,4,0.416666666666667,0,0,7,17,"false",428,339,89,"true","true",0.537092078942885,0.462907921057115
183,175,8,26.1428571428571,25,8,1793,1897,-104,1,0,0.142857142857143,0,"second_player",46,7,7,0.652173913043478,0,0,12,7,"false",428,339,89,"true","false",0.496445614698842,0.503554385301158
210,175,35,26.25,25,35,1793,1897,-104,1,0,0.125,0,"first_player",44,8,7,0.681818181818182,0,0,11,7,"false",428,339,89,"true","true",0.5683591733982,0.4316408266018
216,203,13,24,22.5555555555556,13,1793,1897,-104,1,0,0.111111111111111,0,"second_player",34,9,9,0.882352941176471,0,1,8,6,"false",428,339,89,"true","false",0.439206059383178,0.560793940616822
291,203,88,29.1,22.5555555555556,88,1793,1897,-104,2,0,0.2,0,"first_player",27,10,9,1.11111111111111,0,1,10,6,"false",428,339,89,"true","true",0.832677388997786,0.167322611002214
360,309,51,27.6923076923077,25.75,51,1793,1897,-104,2,0,0.153846153846154,0,"first_player",4,13,12,7.5,0,0,12,8,"false",428,339,89,"true","true",0.704761934926563,0.295238065073437
360,321,39,27.6923076923077,24.6923076923077,39,1793,1897,-104,2,0,0.153846153846154,0,"second_player",0,13,13,0,0,0,12,13,"false",428,339,89,"true","true",0.732591316387485,0.267408683612515
408,339,69,27.2,24.2142857142857,69,1793,1897,-104,2,0,0.133333333333333,0,"first_player",-11,15,14,-2.72727272727273,0,0,3,10,"false",428,339,89,"true","true",0.797481478764141,0.202518521235859
408,339,69,27.2,22.6,69,1793,1897,-104,2,0,0.133333333333333,0,"second_player",-11,15,15,-2.72727272727273,0,0,3,10,"true",428,339,89,"true","true",0.874348555068318,0.125651444931682
21,8,13,10.5,8,13,542,605,-63,0,0,0,0,"first_player",88,2,1,0.409090909090909,1,0,12,7,"false",244,353,-109,"false","true",0.630787071950723,0.369212928049277
33,34,-1,11,11.3333333333333,-1,542,605,-63,0,0,0,0,"second_player",76,3,3,0.473684210526316,1,1,16,9,"false",244,353,-109,"false","true",0.569096725765937,0.430903274234063
53,34,19,13.25,11.3333333333333,19,542,605,-63,0,0,0,0,"first_player",73,4,3,0.493150684931507,1,1,11,9,"false",244,353,-109,"false","true",0.575573993207955,0.424426006792045
62,61,1,12.4,15.25,1,542,605,-63,0,0,0,0,"first_player",66,5,4,0.545454545454545,1,1,12,13,"false",244,353,-109,"false","false",0.425810255250467,0.574189744749533
62,83,-21,12.4,16.6,-21,542,605,-63,0,0,0,0,"second_player",63,5,5,0.571428571428571,1,1,12,6,"false",244,353,-109,"false","false",0.406810814912442,0.593189185087558
90,100,-10,15,16.6666666666667,-10,542,605,-63,0,0,0,0,"second_player",56,6,6,0.642857142857143,0,0,12,28,"false",244,353,-109,"false","false",0.400748052939299,0.599251947060701
97,139,-42,13.8571428571429,19.8571428571429,-42,542,605,-63,0,0,0,0,"second_player",50,7,7,0.72,0,0,10,19,"false",244,353,-109,"false","false",0.204703939413279,0.795296060586721
146,196,-50,14.6,21.7777777777778,-50,542,605,-63,0,0,0,0,"first_player",35,10,9,1.02857142857143,0,0,10,19,"false",244,353,-109,"false","false",0.096237389711437,0.903762610288563
146,229,-83,14.6,22.9,-83,542,605,-63,0,0,0,0,"second_player",32,10,10,1.125,0,0,10,16,"false",244,353,-109,"false","false",0.0559642552140412,0.944035744785959
162,229,-67,14.7272727272727,22.9,-67,542,605,-63,0,0,0,0,"first_player",28,11,10,1.28571428571429,0,0,10,16,"false",244,353,-109,"false","false",0.0547310891147106,0.945268910885289
178,270,-92,14.8333333333333,24.5454545454545,-92,542,605,-63,0,0,0,0,"first_player",22,12,11,1.63636363636364,0,0,10,10,"false",244,353,-109,"false","false",0.0208383651099204,0.97916163489008
178,279,-101,14.8333333333333,23.25,-101,542,605,-63,0,0,0,0,"second_player",18,12,12,2,0,0,10,9,"false",244,353,-109,"false","false",0.0313436792017339,0.968656320798266
186,279,-93,14.3076923076923,23.25,-93,542,605,-63,0,0,0,0,"first_player",15,13,12,2.4,0,0,8,9,"false",244,353,-109,"false","false",0.0203293226245326,0.979670677375467
